X,Y,status,ts
-81.0284,35.25269,Open,2020-04-01T15:00:00Z
-94.898937,29.823854,Open,2020-04-01T15:00:00Z
-93.13783,35.304466,Open,2020-04-01T15:00:00Z
-86.08729,35.497548,Closed,2020-04-01T15:00:00Z
-80.979082,34.214703,Open,2020-04-01T15:00:00Z
-84.77872,33.32542,Open,2020-04-01T15:00:00Z
-90.269803,32.289718,Open,2020-04-01T15:00:00Z
-84.09343933,35.92306234,Open,2020-04-01T15:00:00Z
-81.20865429,28.56691103,Open,2020-04-01T15:00:00Z
-76.189172,36.805149,Open,2020-04-01T15:00:00Z
-80.85442019,35.40831196,Open,2020-04-01T15:00:00Z
-84.061981,33.682604,Open,2020-04-01T15:00:00Z
-84.281203,33.922659,Open,2020-04-01T15:00:00Z
-84.111779,33.906299,Closed,2020-04-01T15:00:00Z
-84.2797,39.856709,Closed,2020-04-01T15:00:00Z
-81.14311,34.007553,Open,2020-04-01T15:00:00Z
-81.784651,32.435174,Closed,2020-04-01T15:00:00Z
-86.909485,34.53619,Closed,2020-04-01T15:00:00Z
-81.23398063,35.27919748,Closed,2020-04-01T15:00:00Z
